Lionel Messi,FC Barcelona | Liga BBVA,RW,94
Cristiano Ronaldo,Real Madrid | Liga BBVA,LW,93
Luis Suárez,FC Barcelona | Liga BBVA,ST,90
Arjen Robben,FC Bayern | Bundesliga,RM,90
Eden Hazard,Chelsea | Barclays PL,LM,89
Zlatan Ibrahimović,PSG | Ligue 1,ST,89
Neymar,FC Barcelona | Liga BBVA,LW,88
David Silva,Manchester City | Barclays PL,CAM,88
Thiago Silva,PSG | Ligue 1,CB,88
Iniesta,FC Barcelona | Liga BBVA,CM,88
James Rodríguez,Real Madrid | Liga BBVA,CAM,87
Robert Lewandowski,FC Bayern | Bundesliga,ST,87
Jérôme Boateng,FC Bayern | Bundesliga,CB,87
Toni Kroos,Real Madrid | Liga BBVA,CM,87
Luka Modrić,Real Madrid | Liga BBVA,CM,87
Mesut Özil,Arsenal | Barclays PL,CAM,87
Gareth Bale,Real Madrid | Liga BBVA,RM,87
Cesc Fàbregas,Chelsea | Barclays PL,CM,87
Franck Ribéry,FC Bayern | Bundesliga,LM,87
Sergio Ramos,Real Madrid | Liga BBVA,CB,87
Sergio Agüero,Manchester City | Barclays PL,ST,87
Giorgio Chiellini,Juventus | Serie A,CB,87
Philipp Lahm,FC Bayern | Bundesliga,CDM,87
Paul Pogba,Juventus | Serie A,CM,86
Kevin De Bruyne,VfL Wolfsburg | Bundesliga,CAM,86
Thomas Müller,FC Bayern | Bundesliga,CF,86
Sergio Busquets,FC Barcelona | Liga BBVA,CDM,86
Marco Reus,Bor. Dortmund | Bundesliga,LM,86
Alexis Sánchez,Arsenal | Barclays PL,LW,86
Arturo Vidal,FC Bayern | Bundesliga,CM,86
Diego Costa,Chelsea | Barclays PL,ST,86
Mats Hummels,Bor. Dortmund | Bundesliga,CB,86
Karim Benzema,Real Madrid | Liga BBVA,ST,86
Carlos Tévez,Boca Juniors | Primera División,ST,86
Bastian Schweinsteiger,Manchester Utd | Barclays PL,CM,86
Wayne Rooney,Manchester Utd | Barclays PL,ST,86
David Alaba,FC Bayern | Bundesliga,LB,85
Ángel Di María,PSG | Ligue 1,CAM,85
Diego Godín,Atlético Madrid | Liga BBVA,CB,85
Edinson Cavani,PSG | Ligue 1,ST,85
Naldo,VfL Wolfsburg | Bundesliga,CB,85
Piqué,FC Barcelona | Liga BBVA,CB,85
Santi Cazorla,Arsenal | Barclays PL,CAM,85
Vincent Kompany,Manchester City | Barclays PL,CB,85
Yaya Touré,Manchester City | Barclays PL,CM,85
John Terry,Chelsea | Barclays PL,CB,85
Marco Verratti,PSG | Ligue 1,CM,84
Isco,Real Madrid | Liga BBVA,CAM,84
Jackson Martínez,Atlético Madrid | Liga BBVA,ST,84
Alexandre Lacazette,Olympique Lyon | Ligue 1,ST,84
Nicolás Otamendi,Manchester City | Barclays PL,CB,84
Mario Götze,FC Bayern | Bundesliga,CAM,84
Nemanja Matić,Chelsea | Barclays PL,CDM,84
Javier Pastore,PSG | Ligue 1,CM,84
Hulk,Zenit | Russian League,RW,84
Jordi Alba,FC Barcelona | Liga BBVA,LB,84
Coutinho,Liverpool | Barclays PL,CAM,84
Oscar,Chelsea | Barclays PL,CAM,84
Miralem Pjanić,Roma | Serie A,CM,84
Juan Mata,Manchester Utd | Barclays PL,RM,84
Javi Martinez,FC Bayern | Bundesliga,CB,84
Medhi Benatia,FC Bayern | Bundesliga,CB,84
Claudio Marchisio,Juventus | Serie A,CM,84
Blaise Matuidi,PSG | Ligue 1,CDM,84
Ivan Rakitić,FC Barcelona | Liga BBVA,CM,84
Miranda,Inter | Serie A,CB,84
Gonzalo Higuaín,Napoli | Serie A,ST,84
Dani Alves,FC Barcelona | Liga BBVA,RB,84
Wesley Sneijder,Galatasaray SK | Süper Lig,CAM,84
Andrea Barzagli,Juventus | Serie A,CB,84
Pepe,Real Madrid | Liga BBVA,CB,84
Xabi Alonso,FC Bayern | Bundesliga,CDM,84
Steven Gerrard,LA Galaxy | MLS,CM,84
Robin van Persie,Fenerbahçe SK | Süper Lig,ST,84
Andrea Pirlo,NY City FC | MLS,CM,84
Aymeric Laporte,Athletic Bilbao | Liga BBVA,CB,83
Karim Bellarabi,Bayer 04 | Bundesliga,RM,83
Antoine Griezmann,Atlético Madrid | Liga BBVA,ST,83
Koke,Atlético Madrid | Liga BBVA,CAM,83
Ricardo Rodriguez,VfL Wolfsburg | Bundesliga,LB,83
Christian Eriksen,Spurs | Barclays PL,CAM,83
Thiago,FC Bayern | Bundesliga,CM,83
Pedro,Chelsea | Barclays PL,LW,83
Luiz Gustavo,VfL Wolfsburg | Bundesliga,CDM,83
Leonardo Bonucci,Juventus | Serie A,CB,83
Nicolás Gaitán,SL Benfica | Primeira Liga,LM,83
Mario Mandžukić,Juventus | Serie A,ST,83
David Luiz,PSG | Ligue 1,CB,83
Sami Khedira,Juventus | Serie A,CDM,83
Benedikt Höwedes,FC Schalke 04 | Bundesliga,CB,83
Radja Nainggolan,Roma | Serie A,CM,83
Marcelo,Real Madrid | Liga BBVA,LB,83
Antonio Candreva,Lazio | Serie A,RW,83
Sokratis,Bor. Dortmund | Bundesliga,CB,83
Marek Hamšik,Napoli | Serie A,CAM,83
Daniel Sturridge,Liverpool | Barclays PL,ST,83
Ezequiel Garay,Zenit | Russian League,CB,83
Falcao,Chelsea | Barclays PL,ST,83
Samir Nasri,Manchester City | Barclays PL,LM,83
Laurent Koscielny,Arsenal | Barclays PL,CB,83
Gary Cahill,Chelsea | Barclays PL,CB,83
Leighton Baines,Everton | Barclays PL,LB,83
João Moutinho,AS Monaco | Ligue 1,CAM,83
Arda Turan,FC Barcelona | Liga BBVA,RM,83
Javier Mascherano,FC Barcelona | Liga BBVA,CB,83
Nemanja Vidić,Inter | Serie A,CB,83
Jérémy Mathieu,FC Barcelona | Liga BBVA,CB,83
Per Mertesacker,Arsenal | Barclays PL,CB,83
Daniele De Rossi,Roma | Serie A,CDM,83
Claudio Coíntra,Fluminense | None,CAM,82
Carlos Bacca,Milan | Serie A,ST,82
Raheem Sterling,Manchester City | Barclays PL,LM,82
Roberto Firmino,Liverpool | Barclays PL,CAM,82
Raphaël Varane,Real Madrid | Liga BBVA,CB,82
Lucas,PSG | Ligue 1,RW,82
Yevgen Konoplyanka,Sevilla FC | Liga BBVA,LW,82
Nolito,Celta Vigo | Liga BBVA,LW,82
Stefan de Vrij,Lazio | Serie A,CB,82
Grzegorz Krychowiak,Sevilla FC | Liga BBVA,CDM,82
Maxime Gonalons,Olympique Lyon | Ligue 1,CDM,82
Juan Cuadrado,Juventus | Serie A,RM,82
Kostas Manolas,Roma | Serie A,CB,82
Shkodran Mustafi,Valencia CF | Liga BBVA,CB,82
Alex Sandro,Juventus | Serie A,LB,82
Kamil Glik,Torino | Serie A,CB,82
Parejo,Valencia CF | Liga BBVA,CM,82
Shinji Kagawa,Bor. Dortmund | Bundesliga,CAM,82
Pierre-Emerick Aubameyang,Bor. Dortmund | Bundesliga,ST,82
Alex Teixeira,FC Shakhtar | Ukrayina Liha,CAM,82
İlkay Gündoğan,Bor. Dortmund | Bundesliga,CM,82
Aaron Ramsey,Arsenal | Barclays PL,CM,82
Azpilicueta,Chelsea | Barclays PL,LB,82
Christian Benteke,Liverpool | Barclays PL,ST,82
Willian,Chelsea | Barclays PL,RM,82
Olivier Giroud,Arsenal | Barclays PL,ST,82
Morgan Schneiderlin,Manchester Utd | Barclays PL,CDM,82
Jonas,SL Benfica | Primeira Liga,ST,82
Dries Mertens,Napoli | Serie A,CAM,82
Jan Vertonghen,Spurs | Barclays PL,CB,82
Leandro Castán,Roma | Serie A,CB,82
Carlos Vela,Real Sociedad | Liga BBVA,RW,82
Filipe Luís,Atlético Madrid | Liga BBVA,LB,82
Borja Valero,Fiorentina | Serie A,CM,82
Loïc Perrin,Saint-Etienne | Ligue 1,CB,82
Lucas Biglia,Lazio | Serie A,CDM,82
Roman Eremenko,CSKA Moskva | Russian League,CAM,82
Klaas-Jan Huntelaar,FC Schalke 04 | Bundesliga,ST,82
Luisão,SL Benfica | Primeira Liga,CB,82
Pablo Zabaleta,Manchester City | Barclays PL,RB,82
Nani,Fenerbahçe SK | Süper Lig,LM,82
Jérémy Toulalan,AS Monaco | Ligue 1,CDM,82
Stephan Lichtsteiner,Juventus | Serie A,RB,82
Aduriz,Athletic Bilbao | Liga BBVA,ST,82
Danny,Zenit | Russian League,CAM,82
Ronaldo Cabrais,Fluminense | None,CAM,81
Louri Beretta,Palmeiras | Brazil Campeonato Brasileiro (1),ST,81
Marquinhos,PSG | Ligue 1,CB,81
William Carvalho,Sporting CP | Primeira Liga,CDM,81
Carvajal,Real Madrid | Liga BBVA,RB,81
Stefan Savić,Atlético Madrid | Liga BBVA,CB,81
Iñigo Martínez,Real Sociedad | Liga BBVA,CB,81
Memphis Depay,Manchester Utd | Barclays PL,LW,81
Marcos Rojo,Manchester Utd | Barclays PL,CB,81
Morata,Juventus | Serie A,ST,81
Allan,Napoli | Serie A,CDM,81
Vitolo,Sevilla FC | Liga BBVA,LM,81
Granit Xhaka,Bor. M&#39;gladbach | Bundesliga,CM,81
